Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name," ""Start Call Number 1""",End Call Number 1,Location 1," ""Start Call Number 2""",End Call Number 2,Location 2,Etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,93,A-51,I-IMF 2:F486,I-OECD 2:N213/4,Eisenhower A Level International Government Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,94,A-52,I-OECD 02:N219/3,I-OECD 176:,Eisenhower A Level International Government Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13,95,A-53,I-OECD 176:,I-OECD/En 27 2:Oi5/4,Eisenhower A Level International Government Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14,96,A-54,I-OECD/En 27 2:Or4,I-UN 2:M764,Eisenhower A Level International Government Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15,97,A-55,I-UN 2:N21,I-UN/D A/CN.4/Ser.A/,Eisenhower A Level International Government Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,16,98,A-56,I-UN/D A/CN.4/Ser.A/,I-UN/DS/23,Eisenhower A Level International Government Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17,99,A-57,I-UN/D S/21/Meetings,I-UN/D ST/SG/AC.10/1,Eisenhower A Level International Government Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18,100,A-58,I-UN/D ST/STD/ATAS,I-UNESCO 2:M588/6,Eisenhower A Level International Government Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,19,101,A-59,I-UNESCO 2:M678,I-WTO/Leg./1/1997,Eisenhower A Level International Government Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,104,Wall Maps 1,G3000.,G5831.,Eisenhower A Level Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,103,Wall Maps 2,G5832.,G8001.,Eisenhower A Level Maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,102,Microfilm/Microfiche,*,*,Eisenhower A Level Microfilm/Microfiche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,0,607,AV Desk,*,*,AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,0,608,Eisenhower A-Reference,*,*,Eisenhower A Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,0,609,Eisenhower A-GIS and Data Services CDROM,*,*,Eisenhower A Level GIS and Data Services CDROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,0,610,Eisenhower A Level GIS and Data Service Point,*,*,Eisenhower A Level GIS and Data Service Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
