Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name," ""Start Call Number 1""",End Call Number 1,Location 1," ""Start Call Number 2""",End Call Number 2,Location 2,Etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,316,C-35,QD453.2 A87 1996,QD501. I6231 1986 INDEX PT.2,Eisenhower C Level Reference,QD455.2 R431 1987 QUARTO,QD481. K64 1978 SUPPL. QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,317,C-36,QD501. K75451 1980,QD541. A41413 1980,Eisenhower C Level Reference,QD502. G37 1987 QUARTO,QD511.8 H42 1996 V.2 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,318,C-37,QL9. G67 1996,QL805. S3155 2008,Eisenhower C Level Reference,QL7. G7813 2003 V.1 QUARTO,QL955. G48 2010 QUARTO,Eisenhower C Level Reference,QL937. F72 2008 FOLIO,QL937. F72 2008 FOLIO,Eisenhower C Level Reference,QM23.2 M673 2002,QM691. S461 1976,Eisenhower C Level Reference,QM7. O96 2001 QUARTO,QM691. S53 2007 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11,319,C-38,QP34.5 M356 2007,QP514.2 R44 2009,Eisenhower C Level Reference,QP34.5 G35 2010 QUARTO,QP514.2 V64 2011 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,320,C-39,S591. G44 2000,S926. A2 N371 1985,Eisenhower C Level Reference,S591. B792 2000 QUARTO,S936. A75 2010 QUARTO,Eisenhower C Level Reference,SB107. D22 1956,SB951.4 K4 1975 V.3,Eisenhower C Level Reference,SB292. A2 G731 1988 QUARTO,SB728. E53 2001 V.2 QUARTO,Eisenhower C Level Reference,SF609. M5 1988,SF609. M5 1988,Eisenhower C Level Reference,SF761. P63 1992A QUARTO,SF761. P63 1992A QUARTO,Eisenhower C Level Reference,T8. B7 1962,T55.3 H3 S27 1994,Eisenhower C Level Reference,T10.7 R451 1986 QUARTO,T55.3 H3 S3 2012 V.5 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,321,C-40,T174.7 N37327 2005,T395. H571 1990,Eisenhower C Level Reference,T58.5 D499 2007 V.1 QUARTO,T379. G73 1981 QUARTO,Eisenhower C Level Reference,TA1. A49 Z9 1956-57 V.82-83,TA347. F5 Z95 1991,Eisenhower C Level Reference,TA11. E731 1994 QUARTO,TA340. S743 2011 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14,322,C-41,TP9. E49 1976 V.1,TP9. U57 2003 V.20,Eisenhower C Level Reference,TP9. H651 1992 QUARTO,TP9. H651 1992 QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15,323,C-42,TP9. U57 2003 V.21,TP156. M5 Z998 1978 SUPPL.2,Eisenhower C Level Reference,TP151. R85 2002 QUARTO,TP156. M5 C545 1982 SUPPL. QUARTO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,324,C-43,AY67. N5 W82 2008,AY67. N5 W82 2008,Eisenhower C Level Reference,BF33. H52 1989,BF697.5 S43 C67 2014,Eisenhower C Level Reference,BF77. K53 2011 QUARTO,BF1461. G85 2000 QUARTO,Eisenhower C Level Reference,CT3260. W5 2000-01,CT3260. W5 2000-01,Eisenhower C Level Reference,D205. A27 2002,D205. A27 2002,Eisenhower C Level Reference,DP302. C66 A55 2011,DP302. C66 A55 2011,Eisenhower C Level Reference,E78. G73 K561 1992,E156. K74 1996,Eisenhower C Level Reference,E169.12 E5 1997 V.1 QUARTO,E169.12 E5 1997 V.2 QUARTO,Eisenhower C Level Reference,G63. G34 1988,G1046. E1 A861 1994,Eisenhower C Level Reference,G70.212 E53 2008 QUARTO,G1046. J4 M51 1992 QUARTO,Eisenhower C Level Reference,G1000. G7 1997 FOLIO,G2800. T51 1990 FOLIO,Eisenhower C Level Reference,GB10. D53 2000,GB2401. E571 1990,Eisenhower C Level Reference,GB601. E535 2004 QUARTO,GB655. W28 2004 QUARTO,Eisenhower C Level Reference,GC9. H67 1999,GC1085. E52 2000,Eisenhower C Level Reference,GC9. E57 2001 V.1 QUARTO,GC11.2 G37 2010 QUARTO,Eisenhower C Level Reference,GE1. G19 2007,GE350. M54 1999,Eisenhower C Level Reference,GE10. E49 1998 V.1 QUARTO,GE149. E47 2002 V.2 QUARTO,Eisenhower C Level Reference,GF10. E63 2004 V.1 QUARTO,GF10. E63 2004 V.3 QUARTO,Eisenhower C Level Reference,HA29. A688 2011,HA46. M95 2000,Eisenhower C Level Reference,HB139. E2881 1993,HB139. E2881 1993,Eisenhower C Level Reference,HC79. E5 G685 2001,HC79. E5 G685 2001,Eisenhower C Level Reference,HD9999. B442 S24 2007 V.1,HD9999. B442 S24 2007 V.4,Eisenhower C Level Reference,HG176.5 B73 2006,HG176.5 B73 2006,Eisenhower C Level Reference,HQ767.9 S534 2011 QUARTO,HQ767.9 S534 2011 QUARTO,Eisenhower C Level Reference,HT391. K36 1999,HT391. K36 1999,Eisenhower C Level Reference,HV6773. H36 2008,HV6773. H36 2008,Eisenhower C Level Reference,HV6017. E53 2000 V.1 QUARTO,HV8073. N47 1998 QUARTO,Eisenhower C Level Reference,JK1985. R83 2006,JK1985. R83 2006,Eisenhower C Level Reference,K3534. I58 2000,K3924. H54 M38 2006,Eisenhower C Level Reference,KF3831. M33 2005,KF5704. N38 2004,Eisenhower C Level Reference,KFN5035. A24 2006 V.1 QUARTO,KFN5035. A24 2006 V.12 QUARTO,Eisenhower C Level Reference,LB1028. M3966 1998,LB1060. H3457 2000,Eisenhower C Level Reference,MT723. C63 2009,MT723. C63 2009,Eisenhower C Level Reference,NA31. H32 2006,NA31. H32 2006,Eisenhower C Level Reference,NA7115. C52 1991 QUARTO,NA7115. C52 1991 QUARTO,Eisenhower C Level Reference,NC1305. P46 2007 V.1,NC1305. P46 2007 V.3,Eisenhower C Level Reference,P98. J87 2009,P371. C37 2011,Eisenhower C Level Reference,P29. E483 2005 V.1 QUARTO,P143. W67 2005 QUARTO,Eisenhower C Level Reference,PC2640. C3 1962,PC2640. C3 1962,Eisenhower C Level Reference,PE1112. M64 2010,PE2808. L26 2006,Eisenhower C Level Reference,PN56. A44 A27 2001,PN56. A44 A27 2001,Eisenhower C Level Reference,Q1. A1 W62 1977-85 V.1,Q125. S245 1952,Eisenhower C Level Reference,Q2. I81 1971 V.1 QUARTO,Q125. H6298 2002 V.4 QUARTO,Eisenhower C Level Reference
5,1,325,C-44,QA55. G6613 2000,QA929. V651 1989,Eisenhower C Level Reference,QA76. M3492 2000 QUARTO,QA929. I35 2007 QUARTO,Eisenhower C Level Reference,QA171. A861 1985 FOLIO,QA171. A861 1985 FOLIO,Eisenhower C Level Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
