Range Group #(DO NOT CHANGE),Index in Range Group(DO NOT CHANGE),Range #(DO NOT CHANGE),Range Name," ""Start Call Number 1""",End Call Number 1,Location 1," ""Start Call Number 2""",End Call Number 2,Location 2,Etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,544,D-100,PR6107. L39 M33,PR9940. 9.C44 M57,Eisenhower D Level Blue Labels,PR87. O95 QUARTO,PR9609. 6.A974 QUARTO,Eisenhower D Level Blue Labels,PR1866. W66 FOLIO,PR6066. R9.S8 FOLIO,Eisenhower D Level Blue Labels,PS1. A58,PS1. M57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,545,D-101,PS1. S654,PS501. A45 NO. 29-32,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,546,D-102,PS501. A45 NO. 33-36,PS2299. L4.G79,Eisenhower D Level Blue Labels,PR87. O95 QUARTO,PR9609.6 A974 QUARTO,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,547,D-103,PS2350. L5 H37,PS3537. T3234 Z86668,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,548,D-104,PS3537. T3234 Z8669,PS3554. E92835 S86,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,549,D-105,PS3554. E9284 H69,PS3558. E4972 G73,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,550,D-106,PS3558. E4972 G75,PS3565. N85 T45,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,551,D-107,PS3565. C57 Z688,PS3573. I456137 A6,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,552,D-108,PS3573. I456137 H69,PS3625. O758 P57,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,553,D-109,PS3625. O76 I38,PS8645. I45 S55,Eisenhower D Level Blue Labels,PS51. B76 QUARTO,PS3612. E35725 QUARTO,Eisenhower D Level Blue Labels,PT1. C36,PT405. Z93,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,554,D-110,PT405. Z945,PT2301. A1 1970 BD8,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,555,D-111,PT2301. A1 1970 BD8K,PT2603. L59 S613,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,556,D-112,PT2603. O13 Z589,PT2625. A44 Z620,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7,557,D-113,PT2625. A44 Z639,PT2672. U48 M67,Eisenhower D Level Blue Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
